"SESSIONID","EXERCISEID","SETS","REPS","WORKOUT"
2767,39,5,19,"Barbell squats"
2768,4,5,18,"Dumbbell curls"
2769,3,4,21,"Pull-ups"
2770,41,5,23,"Face pulls"
2771,26,4,16,"Barbell hip thrusts"
2772,38,5,17,"Barbell hip thrusts"
2773,5,5,15,"Dumbbell front raises"
2774,43,5,25,"Hammer curls"
2775,21,4,23,"Romanian deadlifts"
2776,11,4,16,"Overhead triceps extensions"
2777,41,5,21,"Leg curls"
2778,54,4,24,"Plate pinch"
2779,42,5,23,"Barbell hip thrusts"
2780,15,4,21,"Preacher curls"
2781,20,3,15,"Barbell curls"
2782,32,4,24,"Bicep Curls"
2783,50,5,15,"Standing calf raises"
2784,29,5,22,"Leg press"
2785,44,5,21,"Barbell curls"
2786,36,5,18,"Dumbbell curls"
2787,30,5,19,"Donkey kicks"
2788,39,4,24,"Leg raises"
2789,29,4,15,"Romanian deadlifts"
2790,35,5,20,"Bent-over lateral raises"
2791,53,4,21,"Leg raises"
2792,54,4,23,"Wrist curl"
2793,48,4,24,"Standing calf raises"
2794,35,5,16,"Seated calf raises"
2795,45,5,19,"Decline cable crossovers"
2796,23,4,19,"Leg extensions"
2797,2,5,16,"Dumbbell curls"
2798,36,5,15,"Plank"
2799,41,4,23,"Barbell rows"
2800,54,4,25,"Pull-ups"
2801,42,4,17,"Dumbbell front raises"
2802,33,5,22,"Hyperextensions"
2803,25,4,15,"Bent-over lateral raises"
2804,29,4,17,"Dumbbell front raises"
2805,48,5,18,"Triceps pushdowns"
2806,44,4,23,"Bicycle crunches"
2807,34,5,20,"Wrist extension"
2808,2,5,24,"Dumbbell front raises"
2809,51,5,22,"Wrist extension"
2810,20,5,15,"Leg press"
2811,21,4,23,"Romanian deadlifts"
2812,35,4,19,"Dumbbell curls"
2813,2,5,15,"Hammer curl"
2814,54,4,20,"Preacher curls"
2815,25,4,17,"Leg curls"
2816,23,5,20,"Barbell squats"
2817,7,5,22,"Crunches"
2818,5,5,18,"Lateral raises"
2819,47,4,17,"Military press"
2820,50,4,17,"Plank"
2821,35,4,23,"Military press"
2822,4,4,21,"Incline cable crossovers"
2823,17,5,25,"Bicycle crunches"
2824,35,5,19,"Military press"
2825,25,3,15,"Close-grip bench press"
2826,22,5,16,"Bent-over lateral raises"
2827,45,5,21,"Lateral raises"
2828,19,4,23,"Bent-over rows"
2829,11,4,23,"Overhead triceps extensions"
2830,35,5,22,"Concentration curls"
2831,34,4,24,"Face pulls"
2832,16,4,21,"Donkey kicks"
2833,47,4,22,"Close-grip bench press"
2834,27,5,19,"Towel pull-up"
2835,16,4,20,"Bent-over rows"
2836,22,4,20,"Dumbbell rows"
2837,28,4,22,"Russian twists"
2838,12,5,18,"Decline cable crossovers"
2839,44,4,23,"Seated calf raises"
2840,16,4,20,"Preacher curls"
2841,52,5,23,"Fat grip dumbbell curl"
2842,22,4,21,"Skull crushers"
2843,7,4,20,"Incline cable crossovers"
2844,10,4,15,"Overhead triceps extensions"
2845,7,4,22,"Dumbbell curls"
2846,33,4,18,"Lateral raises"
2847,54,4,22,"Dumbbell flyes"
2848,6,4,16,"Standing calf raises"
2849,6,4,15,"Seated calf raises"
2850,32,4,21,"Towel pull-up"
2851,10,5,17,"Barbell rows"
2852,49,4,18,"Incline dumbbell flyes"
2853,36,5,20,"Plate pinch"
2854,12,4,21,"Leg curls"
2855,36,4,17,"Hammer curl"
2856,18,4,23,"Triceps pushdowns"
2857,17,5,24,"Russian twists"
2858,6,4,22,"Hyperextensions"
2859,18,4,24,"Dumbbell rows"
2860,13,4,17,"Bird dog"
2861,54,5,20,"Decline cable crossovers"
2862,17,5,21,"Russian twists"
2863,49,5,19,"Seated cable rows"
2864,13,5,25,"Barbell rows"
2865,40,5,24,"Standing calf raises"
2866,8,4,17,"Close-grip bench press"
2867,54,5,25,"Cable crossovers"
2868,15,4,20,"Russian twists"
2869,19,5,24,"Bent-over lateral raises"
2870,24,4,25,"Hanging leg raises"
2871,47,5,22,"Triceps dips"
2872,26,4,16,"Close-grip bench press"
2873,21,5,24,"Hammer curl"
2874,16,4,17,"Dumbbell front raises"
2875,47,4,22,"Dumbbell flyes"
2876,45,4,19,"Standing calf raises"
2877,14,5,25,"Preacher curls"
2878,25,4,24,"Military press"
2879,51,5,19,"Barbell squats"
2880,51,4,19,"Russian twists"
2881,37,5,21,"Incline cable crossovers"
2882,54,4,24,"Incline dumbbell press"
2883,42,5,16,"Seated cable rows"
2884,52,5,22,"Pull-ups"
2885,11,5,16,"Barbell curls"
2886,1,4,17,"Fat grip dumbbell curl"
2887,53,5,19,"Plank"
2888,47,4,21,"Romanian deadlifts"
2889,38,5,21,"Hammer curl"
2890,3,4,19,"Chest flyes"
2891,40,4,15,"Hammer curls"
2892,9,4,21,"Pull-ups"
2893,22,4,24,"Triceps pushdowns"
2894,46,5,16,"Skull crushers"
2895,42,4,21,"Fat grip dumbbell curl"
2896,46,5,24,"Seated cable rows"
2897,10,4,15,"Dumbbell flyes"
2898,35,4,19,"Incline dumbbell flyes"
2899,11,4,21,"Bird dog"
2900,16,4,21,"Plate pinch"
2901,54,4,16,"Romanian deadlifts"
2902,35,4,24,"Leg raises"
2903,13,4,23,"Bicycle crunches"
2904,45,5,15,"Military press"
2905,53,4,20,"Barbell rows"
2906,18,5,18,"Dumbbell curls"
2907,32,5,22,"Dumbbell flyes"
2908,29,5,23,"Barbell hip thrusts"
2909,51,4,21,"Pull-ups"
2910,28,5,23,"Leg extensions"
2911,13,5,21,"Fat grip dumbbell curl"
2912,32,5,22,"Cable crossovers"
2913,17,4,20,"Russian twists"
2914,12,4,15,"Incline dumbbell flyes"
2915,46,3,10,"Decline dumbbell press"
2916,3,5,25,"Leg press"
2917,52,5,18,"Preacher curls"
2918,15,5,22,"Hammer curls"
2919,24,5,23,"Plate pinch"
2920,7,4,19,"Donkey kicks"
2921,53,3,12,"Standing calf raises"
2922,33,4,18,"Leg curls"
2923,35,5,25,"Bicycle crunches"
2924,13,4,15,"Wrist curl"
2925,42,5,17,"Overhead triceps extensions"
2926,22,4,25,"Dumbbell rows"
2927,5,5,15,"Face pulls"
2928,16,5,15,"Bird dog"
2929,26,5,15,"Incline dumbbell flyes"
2930,10,5,21,"Dumbbell flyes"
2931,48,4,19,"Hammer curl"
2932,49,5,16,"Barbell hip thrusts"
2933,13,4,20,"Russian twists"
2934,31,4,24,"Leg curls"
2935,19,5,22,"Lateral raises"
2936,35,4,24,"Crunches"
2937,47,5,24,"Crunches"
2938,24,4,23,"Leg press"
2939,31,5,19,"Seated calf raises"
2940,41,4,18,"Seated cable rows"
2941,2,5,16,"Crunches"
2942,10,5,23,"Incline dumbbell press"
2943,42,5,24,"Standing calf raises"
2944,36,5,24,"Bent-over lateral raises"
2945,14,5,15,"Decline cable crossovers"
2946,25,4,22,"Triceps dips"
2947,27,5,25,"Towel pull-up"
2948,11,4,25,"Dumbbell rows"
2949,18,5,15,"Leg curls"
2950,39,3,8,"Skull crushers"
2951,11,4,19,"Standing calf raises"
2952,54,4,16,"Chest flyes"
2953,55,5,15,"Incline cable crossovers"
2954,2,5,18,"Dumbbell flyes"
2955,40,5,22,"Romanian deadlifts"
2956,2,5,25,"Fat grip dumbbell curl"
2957,37,5,20,"Leg curls"
2958,18,4,20,"Seated cable rows"
2959,53,5,17,"Crunches"
2960,53,5,15,"Dumbbell rows"
2961,47,3,12,"Barbell squats"
2962,44,3,10,"Barbell rows"
2963,22,4,15,"Close-grip bench press"
2964,3,4,23,"Standing calf raises"
2965,45,4,25,"Barbell rows"
2966,38,4,19,"Hammer curl"
2967,50,5,22,"Bent-over rows"
2968,13,4,16,"Decline cable crossovers"
2969,30,5,25,"Seated cable rows"
2970,49,4,20,"Incline dumbbell press"
2971,18,4,21,"Barbell squats"
2972,21,4,15,"Barbell squats"
2973,24,4,23,"Incline cable crossovers"
2974,31,5,22,"Fat grip dumbbell curl"
2975,54,5,24,"Hammer curl"
2976,34,4,23,"Wrist extension"
2977,8,5,25,"Fat grip dumbbell curl"
2978,38,4,16,"Wrist extension"
2979,52,4,18,"Decline cable crossovers"
2980,24,4,18,"Leg raises"
2981,22,3,12,"Hyperextensions"
2982,49,3,15,"Barbell hip thrusts"
2983,12,5,25,"Leg curls"
2984,8,5,17,"Hammer curls"
2985,14,4,25,"Pull-ups"
2986,35,4,21,"Seated cable rows"
2987,39,4,19,"Crunches"
2988,15,4,19,"Russian twists"
2989,35,5,24,"Chest flyes"
2990,43,4,20,"Bird dog"
2991,38,4,21,"Triceps pushdowns"
2992,1,4,20,"Leg raises"
2993,2,5,16,"Decline dumbbell press"
2994,35,5,24,"Leg extensions"
2995,27,5,17,"Standing calf raises"
2996,38,5,15,"Wrist curl"
2997,55,4,19,"Plate pinch"
2998,22,5,18,"Military press"
2999,12,5,20,"Plate pinch"
3000,8,4,21,"Decline dumbbell press"
3001,38,5,21,"Seated cable rows"
3002,32,5,15,"Military press"
3003,37,4,19,"Decline dumbbell flyes"
3004,11,3,20,"Romanian deadlifts"
3005,17,5,21,"Seated cable rows"
3006,47,4,16,"Incline dumbbell press"
3007,3,4,18,"Barbell curls"
3008,11,4,15,"Bent-over rows"
3009,9,4,23,"Dumbbell flyes"
3010,1,4,23,"Romanian deadlifts"
3011,48,3,12,"Hammer curls"
3012,49,4,18,"Decline cable crossovers"
3013,51,5,22,"Preacher curls"
3014,27,5,25,"Russian twists"
3015,16,4,17,"Romanian deadlifts"
3016,8,4,23,"Leg extensions"
3017,28,5,25,"Bent-over lateral raises"
3018,41,4,22,"Decline dumbbell press"
3019,55,4,25,"Face pulls"
3020,36,3,10,"Barbell squats"
3021,41,5,15,"Military press"
3022,34,4,21,"Standing calf raises"
3023,30,5,17,"Leg press"
3024,49,5,23,"Bird dog"
3025,20,4,22,"Hyperextensions"
3026,32,5,15,"Standing calf raises"
3027,45,5,22,"Barbell squats"
3028,47,3,12,"Hanging leg raises"
3029,30,5,16,"Leg curls"
3030,6,5,23,"Bicycle crunches"
3031,1,4,25,"Standing calf raises"
3032,9,4,21,"Wrist extension"
3033,10,4,20,"Dumbbell flyes"
3034,47,4,24,"Lateral raises"
3035,47,3,10,"Plank"
3036,52,4,17,"Concentration curls"
3037,23,5,16,"Hammer curl"
3038,48,4,17,"Lateral raises"
3039,44,5,25,"Hanging leg raises"
3040,41,4,19,"Barbell curls"
3041,17,5,20,"Fat grip dumbbell curl"
3042,43,4,22,"Barbell curls"
3043,36,5,25,"Dumbbell flyes"
3044,3,5,17,"Dumbbell front raises"
3045,55,5,18,"Cable crossovers"
3046,10,4,20,"Barbell squats"
3047,6,4,18,"Barbell curls"
3048,33,4,19,"Seated calf raises"
3049,27,5,19,"Bent-over lateral raises"
3050,16,4,21,"Bent-over lateral raises"
3051,29,5,21,"Face pulls"
3052,54,4,23,"Military press"
3053,11,4,16,"Overhead triceps extensions"
3054,23,5,22,"Plank"
3055,22,4,19,"Incline cable crossovers"
3056,47,4,16,"Close-grip bench press"
3057,20,5,16,"Barbell hip thrusts"
3058,7,4,25,"Military press"
3059,13,5,20,"Overhead triceps extensions"
3060,17,4,24,"Hyperextensions"
3061,38,4,15,"Cable crossovers"
3062,7,4,23,"Incline cable crossovers"
3063,30,4,15,"Dumbbell flyes"
3064,50,4,15,"Barbell squats"
3065,34,4,25,"Barbell hip thrusts"
3066,9,4,22,"Dumbbell front raises"
3067,36,4,17,"Russian twists"
3068,34,5,24,"Seated calf raises"
3069,37,4,18,"Plate pinch"
3070,55,4,22,"Barbell squats"
3071,52,5,23,"Leg raises"
3072,35,4,25,"Hammer curl"
3073,44,5,21,"Seated calf raises"
3074,40,4,20,"Leg raises"
3075,28,4,16,"Hanging leg raises"
3076,27,3,15,"Triceps pushdowns"
3077,20,4,23,"Hyperextensions"
3078,20,4,21,"Triceps pushdowns"
3079,32,5,22,"Incline dumbbell flyes"
3080,37,4,18,"Chest flyes"
3081,40,5,17,"Plank"
3082,20,4,15,"Leg curls"
3083,51,5,24,"Triceps pushdowns"
3084,5,4,21,"Hammer curls"
3085,39,5,21,"Decline dumbbell press"
3086,2,4,25,"Wrist extension"
3087,27,4,23,"Overhead triceps extensions"
3088,8,5,20,"Barbell rows"
3089,37,3,8,"Wrist extension"
3090,21,5,15,"Chest flyes"
3091,51,5,15,"Dumbbell flyes"
3092,34,5,23,"Hyperextensions"
3093,18,3,10,"Russian twists"
3094,42,5,20,"Skull crushers"
3095,7,5,24,"Skull crushers"
3096,39,4,18,"Skull crushers"
3097,1,5,15,"Incline dumbbell press"
3098,30,4,20,"Russian twists"
3099,31,5,23,"Fat grip dumbbell curl"
3100,37,4,15,"Towel pull-up"
3101,36,5,17,"Hammer curls"
3102,8,5,15,"Barbell squats"
3103,30,5,25,"Crunches"
3104,51,4,21,"Incline dumbbell flyes"
3105,24,5,19,"Decline dumbbell flyes"
3106,37,5,21,"Leg raises"
3107,47,3,20,"Seated calf raises"
3108,49,4,24,"Hanging leg raises"
3109,26,5,25,"Seated calf raises"
3110,31,5,25,"Decline dumbbell flyes"
3111,19,5,18,"Incline dumbbell press"
3112,28,4,19,"Towel pull-up"
3113,38,4,15,"Overhead triceps extensions"
3114,29,5,20,"Standing calf raises"
3115,42,5,18,"Wrist curl"
3116,12,5,21,"Towel pull-up"
3117,51,5,24,"Dumbbell rows"
3118,5,4,17,"Russian twists"
3119,15,5,16,"Hyperextensions"
3120,15,5,25,"Wrist curl"
3121,39,5,21,"Seated calf raises"
3122,11,4,23,"Hyperextensions"
3123,3,4,23,"Romanian deadlifts"
3124,29,4,19,"Decline dumbbell press"
3125,23,4,20,"Face pulls"
3126,24,4,24,"Wrist curl"
3127,10,5,18,"Standing calf raises"
3128,31,5,19,"Incline cable crossovers"
3129,26,5,17,"Incline cable crossovers"
3130,46,5,16,"Leg curls"
3131,28,4,16,"Romanian deadlifts"
3132,14,3,10,"Barbell curls"
3133,8,5,16,"Barbell rows"
3134,19,4,15,"Hammer curls"
3135,15,4,23,"Seated cable rows"
3136,48,5,15,"Concentration curls"
3137,15,5,21,"Decline cable crossovers"
3138,37,4,19,"Dumbbell flyes"
3139,37,4,20,"Triceps pushdowns"
3140,10,5,19,"Towel pull-up"
3141,28,5,22,"Hammer curl"
3142,27,5,17,"Decline cable crossovers"
3143,35,4,23,"Bent-over lateral raises"
3144,18,5,23,"Wrist extension"
3145,27,5,16,"Barbell curls"
3146,45,5,22,"Dumbbell curls"
3147,16,4,22,"Russian twists"
3148,16,5,19,"Concentration curls"
3149,9,4,22,"Face pulls"
3150,52,5,24,"Decline cable crossovers"
3151,12,5,25,"Concentration curls"
3152,54,5,17,"Barbell hip thrusts"
3153,4,4,15,"Pull-ups"
3154,55,4,15,"Donkey kicks"
3155,33,5,16,"Military press"
3156,30,4,16,"Russian twists"
3157,35,4,23,"Triceps pushdowns"
3158,40,5,18,"Wrist curl"
3159,26,4,21,"Skull crushers"
3160,55,4,24,"Bicycle crunches"
3161,15,5,19,"Leg extensions"
3162,51,4,15,"Preacher curls"
3163,24,4,24,"Hanging leg raises"
3164,6,5,17,"Chest flyes"
3165,33,4,18,"Incline cable crossovers"
3166,47,5,17,"Bicep Curls"
3167,3,4,12,"Incline dumbbell flyes"
3168,7,4,20,"Leg press"
3169,52,4,15,"Preacher curls"
3170,40,5,21,"Plank"
3171,34,5,18,"Barbell rows"
3172,14,5,25,"Triceps pushdowns"
3173,33,4,17,"Cable crossovers"
3174,16,4,18,"Bent-over lateral raises"
3175,7,5,22,"Romanian deadlifts"
3176,35,5,24,"Pull-ups"
3177,23,4,15,"Fat grip dumbbell curl"
3178,7,4,18,"Cable crossovers"
3179,47,5,20,"Dumbbell curls"
3180,30,5,22,"Bicep Curls"
3181,26,4,24,"Incline dumbbell press"
3182,32,5,16,"Hanging leg raises"
3183,40,4,17,"Hammer curl"
3184,13,4,16,"Plate pinch"
3185,37,4,16,"Dumbbell rows"
3186,10,4,20,"Seated calf raises"
3187,14,5,18,"Hammer curls"
3188,24,5,20,"Barbell curls"
3189,49,5,19,"Hyperextensions"
3190,47,4,23,"Plate pinch"
3191,11,5,20,"Bird dog"
3192,43,5,17,"Towel pull-up"
3193,28,4,23,"Bent-over rows"
3194,16,4,17,"Overhead triceps extensions"
3195,8,5,16,"Barbell curls"
3196,53,5,21,"Decline dumbbell press"
3197,43,4,20,"Plate pinch"
3198,40,5,20,"Barbell rows"
3199,32,4,24,"Dumbbell flyes"
3200,39,4,15,"Romanian deadlifts"
3201,51,5,24,"Skull crushers"
3202,26,4,16,"Incline dumbbell flyes"
3203,37,5,21,"Barbell hip thrusts"
3204,19,4,15,"Triceps dips"
3205,13,5,25,"Dumbbell front raises"
3206,5,5,20,"Pull-ups"
3207,4,4,18,"Overhead triceps extensions"
3208,7,5,23,"Standing calf raises"
3209,5,5,24,"Barbell squats"
3210,1,5,19,"Bicep Curls"
3211,44,3,10,"Bird dog"
3212,45,5,16,"Dumbbell curls"
3213,15,4,19,"Leg press"
3214,7,4,24,"Decline dumbbell flyes"
3215,14,5,22,"Barbell rows"
3216,31,3,12,"Barbell hip thrusts"
3217,53,3,10,"Wrist curl"
3218,35,4,17,"Hanging leg raises"
3219,28,4,22,"Towel pull-up"
3220,2,5,16,"Incline dumbbell press"
3221,42,5,22,"Incline dumbbell flyes"
3222,13,5,23,"Bicep Curls"
3223,51,5,20,"Incline cable crossovers"
3224,19,4,15,"Leg curls"
3225,27,5,20,"Bent-over lateral raises"
3226,24,5,16,"Plate pinch"
3227,48,4,25,"Bicep Curls"
3228,27,4,25,"Bicep Curls"
3229,46,4,23,"Overhead triceps extensions"
3230,35,5,25,"Bent-over lateral raises"
3231,29,4,18,"Barbell squats"
3232,29,4,16,"Triceps pushdowns"
3233,18,5,16,"Plank"
3234,34,4,23,"Close-grip bench press"
3235,47,5,15,"Bent-over rows"
3236,11,5,15,"Wrist extension"
3237,6,4,23,"Romanian deadlifts"
3238,4,4,20,"Chest flyes"
3239,8,5,16,"Barbell curls"
3240,26,4,25,"Wrist curl"
3241,46,5,21,"Decline dumbbell press"
3242,13,5,20,"Wrist curl"
3243,25,5,15,"Seated cable rows"
3244,40,5,21,"Skull crushers"
3245,17,4,23,"Hanging leg raises"
3246,15,5,17,"Overhead triceps extensions"
3247,19,5,16,"Hammer curl"
3248,20,5,16,"Overhead triceps extensions"
3249,15,5,20,"Decline dumbbell press"
3250,40,5,24,"Leg press"
3251,29,5,24,"Pull-ups"
3252,28,5,15,"Pull-ups"
3253,46,5,15,"Decline cable crossovers"
3254,3,4,18,"Barbell curls"
3255,16,5,22,"Leg press"
3256,35,5,20,"Wrist extension"
3257,23,4,17,"Towel pull-up"
3258,38,3,20,"Barbell curls"
3259,46,5,21,"Plate pinch"
3260,51,4,25,"Donkey kicks"
3261,26,4,21,"Standing calf raises"
3262,40,5,21,"Decline dumbbell flyes"
3263,19,3,8,"Dumbbell front raises"
3264,43,4,16,"Incline dumbbell flyes"
3265,24,4,18,"Incline dumbbell press"
3266,45,5,17,"Pull-ups"
3267,37,4,10,"Overhead triceps extensions"
3268,5,4,23,"Lateral raises"
3269,19,4,24,"Triceps dips"
3270,51,4,21,"Preacher curls"
3271,41,5,24,"Wrist curl"
3272,28,5,23,"Decline dumbbell press"
3273,25,4,20,"Overhead triceps extensions"
3274,4,5,17,"Barbell rows"
3275,24,4,16,"Seated cable rows"
3276,13,4,21,"Incline dumbbell press"
3277,26,4,23,"Bent-over lateral raises"
3278,11,5,23,"Leg press"
3279,24,5,16,"Leg press"
3280,43,5,16,"Decline dumbbell press"
3281,12,5,21,"Barbell squats"
3282,48,4,16,"Standing calf raises"
3283,34,5,22,"Leg press"
3284,28,5,15,"Donkey kicks"
3285,35,5,16,"Barbell squats"
3286,8,4,15,"Romanian deadlifts"
3287,3,5,20,"Plank"
3288,5,3,10,"Overhead triceps extensions"
3289,18,5,15,"Donkey kicks"
3290,53,4,24,"Dumbbell front raises"
3291,48,5,22,"Bicycle crunches"
3292,23,5,22,"Dumbbell curls"
3293,37,4,19,"Skull crushers"
3294,13,5,17,"Lateral raises"
3295,32,4,19,"Triceps dips"
3296,6,5,25,"Dumbbell rows"
3297,49,5,24,"Plate pinch"
3298,6,4,15,"Seated calf raises"
3299,31,4,20,"Wrist extension"
3300,44,5,18,"Lateral raises"
3301,15,5,22,"Romanian deadlifts"
3302,42,5,21,"Barbell rows"
3303,43,4,17,"Overhead triceps extensions"
3304,55,4,16,"Towel pull-up"
3305,50,5,23,"Overhead triceps extensions"
3306,20,4,24,"Triceps pushdowns"
3307,45,4,24,"Bent-over rows"
3308,13,5,23,"Bicycle crunches"
3309,54,5,21,"Pull-ups"
3310,6,4,21,"Face pulls"
3311,32,5,19,"Donkey kicks"
3312,5,5,22,"Seated calf raises"
3313,55,5,20,"Leg raises"
3314,6,4,21,"Pull-ups"
3315,55,4,16,"Leg raises"
3316,24,4,20,"Donkey kicks"
3317,11,5,20,"Wrist extension"
3318,5,5,19,"Leg raises"
3319,25,3,10,"Decline dumbbell press"
3320,36,4,18,"Lateral raises"
3321,28,5,22,"Dumbbell flyes"
3322,16,5,15,"Preacher curls"
3323,16,5,15,"Leg curls"
3324,46,5,25,"Leg raises"
3325,39,5,23,"Bird dog"
3326,1,5,23,"Incline cable crossovers"
3327,37,5,16,"Pull-ups"
3328,32,5,23,"Bicycle crunches"
3329,17,5,15,"Face pulls"
3330,17,5,23,"Preacher curls"
3331,39,5,19,"Bicep Curls"
3332,5,4,21,"Leg extensions"
3333,42,4,21,"Plate pinch"
3334,4,5,17,"Incline dumbbell press"
3335,1,5,24,"Bent-over rows"
3336,17,4,20,"Seated calf raises"
3337,16,5,22,"Barbell curls"
3338,30,4,16,"Decline dumbbell flyes"
3339,31,5,15,"Pull-ups"
3340,38,5,19,"Leg press"
3341,8,4,22,"Plank"
3342,50,5,21,"Chest flyes"
3343,5,4,17,"Plate pinch"
3344,49,4,20,"Plate pinch"
3345,45,4,16,"Barbell hip thrusts"
3346,15,5,17,"Barbell curls"
3347,30,4,23,"Incline cable crossovers"
3348,50,5,25,"Bicep Curls"
3349,34,5,24,"Romanian deadlifts"
3350,39,4,19,"Skull crushers"
3351,3,5,19,"Russian twists"
3352,8,5,24,"Wrist extension"
3353,53,5,21,"Standing calf raises"
3354,28,4,17,"Decline cable crossovers"
3355,50,5,18,"Face pulls"
3356,36,3,12,"Barbell hip thrusts"
3357,46,4,23,"Romanian deadlifts"
3358,52,5,18,"Concentration curls"
3359,1,4,16,"Barbell squats"
3360,22,4,21,"Dumbbell rows"
3361,10,4,25,"Russian twists"
3362,13,4,16,"Decline dumbbell press"
3363,38,4,24,"Incline dumbbell press"
3364,36,5,20,"Triceps pushdowns"
3365,41,4,24,"Dumbbell curls"
3366,30,4,20,"Donkey kicks"
3367,51,4,22,"Bird dog"
3368,51,5,22,"Face pulls"
3369,40,5,16,"Seated calf raises"
3370,36,5,15,"Leg extensions"
3371,44,5,17,"Bird dog"
3372,4,4,15,"Face pulls"
3373,7,4,20,"Incline dumbbell flyes"
3374,15,4,15,"Bent-over lateral raises"
3375,30,4,25,"Bird dog"
3376,29,5,24,"Triceps dips"
3377,2,4,21,"Plate pinch"
3378,14,4,17,"Standing calf raises"
3379,7,4,18,"Pull-ups"
3380,28,5,19,"Hammer curl"
3381,44,5,23,"Wrist extension"
3382,38,5,21,"Bent-over lateral raises"
3383,42,5,21,"Standing calf raises"
3384,4,4,21,"Donkey kicks"
3385,54,4,15,"Leg press"
3386,49,4,15,"Triceps dips"
3387,32,5,21,"Dumbbell flyes"
3388,28,4,19,"Barbell rows"
3389,39,4,15,"Hammer curls"
3390,26,4,22,"Dumbbell flyes"
3391,39,4,24,"Dumbbell flyes"
3392,54,4,17,"Dumbbell curls"
3393,18,4,16,"Russian twists"
3394,53,4,16,"Dumbbell flyes"
3395,7,4,16,"Russian twists"
3396,13,4,15,"Wrist curl"
3397,18,4,23,"Preacher curls"
3398,52,4,24,"Bent-over rows"
3399,54,4,21,"Dumbbell front raises"
3400,49,5,19,"Seated calf raises"
3401,52,4,17,"Bicep Curls"
3402,26,5,15,"Leg press"
3403,26,5,15,"Seated cable rows"
3404,22,5,20,"Leg curls"
3405,23,5,15,"Decline dumbbell press"
3406,55,4,25,"Bent-over rows"
3407,41,5,17,"Standing calf raises"
3408,46,4,16,"Russian twists"
3409,17,4,18,"Bent-over lateral raises"
3410,35,5,21,"Lateral raises"
3411,51,3,12,"Leg curls"
3412,3,5,20,"Hyperextensions"
3413,27,5,17,"Donkey kicks"
3414,2,5,16,"Bicep Curls"
3415,6,4,25,"Plate pinch"
3416,42,4,23,"Barbell rows"
3417,47,4,17,"Crunches"
3418,17,5,17,"Dumbbell flyes"
3419,13,4,20,"Pull-ups"
3420,53,4,16,"Fat grip dumbbell curl"
3421,31,4,25,"Russian twists"
3422,6,5,18,"Hyperextensions"
3423,49,5,24,"Dumbbell curls"
3424,23,5,24,"Barbell rows"
3425,47,4,20,"Leg extensions"
3426,46,4,18,"Leg press"
3427,24,4,20,"Plate pinch"
3428,51,4,15,"Hammer curl"
3429,5,4,16,"Seated cable rows"
3430,29,5,21,"Bicep Curls"
3431,41,4,24,"Russian twists"
3432,14,4,23,"Plank"
3433,4,4,17,"Wrist extension"
3434,45,4,25,"Concentration curls"
3435,8,4,15,"Overhead triceps extensions"
3436,49,5,24,"Leg curls"
3437,47,5,18,"Hammer curl"
3438,23,5,16,"Hanging leg raises"
3439,39,4,20,"Barbell rows"
3440,35,4,21,"Donkey kicks"
3441,41,5,20,"Leg press"
3442,12,3,10,"Incline cable crossovers"
3443,34,4,24,"Hyperextensions"
3444,37,5,18,"Bicep Curls"
3445,12,5,18,"Towel pull-up"
3446,1,4,20,"Decline dumbbell flyes"
3447,7,5,17,"Incline cable crossovers"
3448,30,5,20,"Face pulls"
3449,25,5,15,"Incline dumbbell press"
3450,54,5,20,"Bird dog"
3451,45,5,24,"Crunches"
3452,17,5,16,"Lateral raises"
3453,8,5,21,"Decline dumbbell press"
3454,34,4,15,"Incline cable crossovers"
3455,20,3,12,"Standing calf raises"
3456,50,5,23,"Cable crossovers"
3457,32,5,17,"Hanging leg raises"
3458,33,5,23,"Dumbbell front raises"
3459,16,5,19,"Bicep Curls"
3460,35,4,15,"Russian twists"
3461,45,4,23,"Overhead triceps extensions"
3462,42,4,17,"Chest flyes"
3463,29,4,23,"Decline dumbbell flyes"
3464,43,5,22,"Fat grip dumbbell curl"
3465,8,4,25,"Hyperextensions"
3466,38,5,15,"Preacher curls"
3467,32,5,16,"Chest flyes"
3468,53,4,20,"Romanian deadlifts"
3469,47,5,18,"Decline dumbbell press"
3470,19,5,15,"Leg extensions"
3471,39,4,15,"Bent-over rows"
3472,49,4,18,"Pull-ups"
3473,26,4,22,"Leg curls"
3474,28,5,23,"Hanging leg raises"
3475,35,4,15,"Cable crossovers"
3476,43,5,16,"Chest flyes"
3477,5,4,21,"Barbell hip thrusts"
3478,49,5,24,"Seated cable rows"
3479,15,4,19,"Wrist extension"
3480,34,5,19,"Standing calf raises"
3481,53,4,22,"Dumbbell front raises"
3482,13,5,20,"Bent-over lateral raises"
3483,11,4,17,"Leg extensions"
3484,26,4,15,"Cable crossovers"
3485,12,5,18,"Standing calf raises"
3486,11,5,21,"Incline dumbbell flyes"
3487,46,4,19,"Hanging leg raises"
3488,54,4,21,"Close-grip bench press"
3489,35,4,21,"Crunches"
3490,12,4,18,"Leg extensions"
3491,2,5,22,"Lateral raises"
3492,12,4,24,"Bent-over lateral raises"
3493,28,4,16,"Seated calf raises"
3494,48,5,19,"Leg extensions"
3495,53,5,20,"Barbell rows"
3496,28,5,21,"Donkey kicks"
3497,32,5,24,"Bent-over rows"
3498,30,3,12,"Incline cable crossovers"
